"ESD","SETTING","ESTIMATE","STABILITY","MEDIAN","SAMPLE"
"R034BY006UT","INTERSPACES","LOW",3,3,43
"R034BY006UT","INTERSPACES","HIGH",4,4,43
"R034BY006UT","CANOPY","LOW",3,4,40
"R034BY006UT","CANOPY","HIGH",5,5,40
"R034BY006UT","SITE","LOW",4,4,42
"R034BY006UT","SITE","HIGH",4,4,42
"R036XY325CO","INTERSPACES","LOW",2,3,43
"R036XY325CO","INTERSPACES","HIGH",4,4,43
"R036XY325CO","CANOPY","LOW",5,4,40
"R036XY325CO","CANOPY","HIGH",6,5,40
"R036XY325CO","SITE","LOW",4,4,42
"R036XY325CO","SITE","HIGH",4,4,42
"R036XY114CO","INTERSPACES","LOW",3,3,43
"R036XY114CO","INTERSPACES","HIGH",6,4,43
"R036XY113CO","INTERSPACES","LOW",3,3,43
"R036XY113CO","INTERSPACES","HIGH",4,4,43
"R036XY113CO","CANOPY","LOW",5,4,40
"R036XY113CO","CANOPY","HIGH",6,5,40
"R036XY113CO","SITE","LOW",4,4,42
"R036XY113CO","SITE","HIGH",4,4,42
"R036XY284CO","INTERSPACES","LOW",2,3,43
"R036XY284CO","INTERSPACES","HIGH",4,4,43
"R036XY284CO","CANOPY","LOW",4,4,40
"R036XY284CO","CANOPY","HIGH",6,5,40
"R034BY109UT","INTERSPACES","LOW",2,3,43
"R034BY109UT","INTERSPACES","HIGH",3,4,43
"R034BY109UT","CANOPY","LOW",4,4,40
"R034BY109UT","CANOPY","HIGH",5,5,40
"R034BY109UT","SITE","LOW",3,4,42
"R034BY109UT","SITE","HIGH",4,4,42
"R034BY117UT","INTERSPACES","LOW",2,3,43
"R034BY117UT","INTERSPACES","HIGH",3,4,43
"R034BY117UT","CANOPY","LOW",3,4,40
"R034BY117UT","CANOPY","HIGH",4,5,40
"R034BY117UT","SITE","LOW",3,4,42
"R034BY117UT","SITE","HIGH",3,4,42
"R036XY287CO","INTERSPACES","LOW",2,3,43
"R036XY287CO","INTERSPACES","HIGH",4,4,43
"R036XY287CO","CANOPY","LOW",3,4,40
"R036XY287CO","CANOPY","HIGH",5,5,40
"R034BY104UT","INTERSPACES","LOW",2,3,43
"R034BY104UT","INTERSPACES","HIGH",3,4,43
"R034BY104UT","CANOPY","LOW",3,4,40
"R034BY104UT","CANOPY","HIGH",4,5,40
"R034BY104UT","SITE","LOW",3,4,42
"R034BY104UT","SITE","HIGH",3,4,42
"R034BY322UT","INTERSPACES","LOW",4,3,43
"R034BY322UT","INTERSPACES","HIGH",5,4,43
"R034BY322UT","CANOPY","LOW",3,4,40
"R034BY322UT","CANOPY","HIGH",4,5,40
"R034BY322UT","SITE","LOW",4,4,42
"R034BY322UT","SITE","HIGH",4,4,42
"R034BY112UT","INTERSPACES","LOW",2,3,43
"R034BY112UT","INTERSPACES","HIGH",3,4,43
"R034BY112UT","CANOPY","LOW",3,4,40
"R034BY112UT","CANOPY","HIGH",4,5,40
"R034BY112UT","SITE","LOW",3,4,42
"R034BY112UT","SITE","HIGH",3,4,42
"R036XY111CO","INTERSPACES","LOW",3,3,43
"R036XY111CO","INTERSPACES","HIGH",4,4,43
"R036XY111CO","CANOPY","LOW",4,4,40
"R036XY111CO","CANOPY","HIGH",5,5,40
"R036XY111CO","SITE","LOW",4,4,42
"R036XY111CO","SITE","HIGH",4,4,42
"R036XY289CO","INTERSPACES","LOW",2,3,43
"R036XY289CO","INTERSPACES","HIGH",3,4,43
"R036XY326CO","INTERSPACES","LOW",2,3,43
"R036XY326CO","INTERSPACES","HIGH",3,4,43
"R036XY326CO","CANOPY","LOW",4,4,40
"R036XY326CO","CANOPY","HIGH",5,5,40
"R036XY326CO","SITE","LOW",3,4,42
"R036XY326CO","SITE","HIGH",3,4,42
"R035XY136UT","INTERSPACES","LOW",3,3,43
"R035XY136UT","INTERSPACES","HIGH",4,4,43
"R035XY136UT","CANOPY","LOW",4,4,40
"R035XY136UT","CANOPY","HIGH",5,5,40
"R035XY136UT","SITE","LOW",4,4,42
"R035XY136UT","SITE","HIGH",4,4,42
