OBJECTID,PlotKey,RecKey,DateModified,FormType,FormDate,LineKey,Observer,Recorder,DataEntry,DataErrorChecking,SoilStabSubSurface,Notes,DateLoadedInDb,PrimaryKey,DBKey,created_user,created_date,last_edited_user,last_edited_date,GlobalID
42567,1507010658204438,1507011350479301,7/1/2015 13:54:16,Soil,7/1/2015 0:00:00,,Josh Logsdon,Garrett Rotert,,,1,,2015-09-01,15070106582044382015-09-01,TravelingAIMcrew 2015 5.0.mdb,DBROWNING,8/30/2018 20:53:13,SBURNETT,7/22/2020 16:13:35,{CB9B7BCC-64C7-417D-AD5C-00C05EEDAD50}
43488,1506250953565052,1506251040249200,6/25/2015 10:43:21,Soil,6/25/2015 0:00:00,,Josh Logsdon,Garrett Rotert,,,1,,2015-09-01,15062509535650522015-09-01,TravelingAIMcrew 2015 5.0.mdb,DBROWNING,8/30/2018 20:53:13,SBURNETT,7/22/2020 16:15:51,{B500B269-DB84-4EEB-9779-AC6B1DC61C1A}
43489,1506251049297245,150625111739124,6/25/2015 11:21:35,Soil,6/24/2015 0:00:00,,Josh Logsdon,Garrett Rotert,,,1,,2015-09-01,15062510492972452015-09-01,TravelingAIMcrew 2015 5.0.mdb,DBROWNING,8/30/2018 20:53:13,SBURNETT,7/22/2020 16:15:51,{88F8917D-E516-4006-81A1-0A14F68E7C51}
43490,1506301712081927,150630180758500,6/30/2015 18:12:12,Soil,6/30/2015 0:00:00,,Garrett Rotert,Josh Logsdon,,,1,,2015-09-01,15063017120819272015-09-01,TravelingAIMcrew 2015 5.0.mdb,DBROWNING,8/30/2018 20:53:13,SBURNETT,7/22/2020 16:15:51,{02A68D09-7F2A-4607-AD43-89B4168C2A4A}
43491,1506301816004125,1506301952536214,6/30/2015 19:57:00,Soil,6/23/2015 0:00:00,,Josh Logsdon,Garrett Rotert,,,1,,2015-09-01,15063018160041252015-09-01,TravelingAIMcrew 2015 5.0.mdb,DBROWNING,8/30/2018 20:53:13,SBURNETT,7/22/2020 16:15:51,{64F702FB-76E8-44CB-BDBD-E49DC57F85E3}
44601,1507011621451769,1507011717013800,7/1/2015 17:21:19,Soil,7/1/2015 0:00:00,,Josh Logsdon,Garrett Rotert,Garrett Rotert,,1,,2015-09-01,15070116214517692015-09-01,TravelingAIMcrew 2015 5.0.mdb,DBROWNING,8/30/2018 20:53:13,SBURNETT,7/22/2020 16:17:53,{67DAC6CB-0EE4-436C-BF74-4199C0D5CDA5}
47402,1506180655331357,1506241925052662,6/24/2015 19:29:32,Soil,6/18/2015 0:00:00,,Josh Logsdon,Garrett Rotert,,,1,,2015-09-01,15061806553313572015-09-01,TravelingAIMcrew 2015 5.0.mdb,DBROWNING,8/30/2018 20:53:13,SBURNETT,7/22/2020 16:15:16,{A205A024-E514-47C5-B1F9-1A62F00DFFCA}
47403,150624193207316,1506250750152013,6/25/2015 7:57:25,Soil,6/16/2015 0:00:00,,Josh Logsdon,Garrett Rotert,,,1,,2015-09-01,1506241932073162015-09-01,TravelingAIMcrew 2015 5.0.mdb,DBROWNING,8/30/2018 20:53:13,SBURNETT,7/22/2020 16:15:16,{45295BBF-1DCC-4FC6-8100-1CE9D913C4CB}
47404,1506250801282801,1506250814329637,6/25/2015 8:24:23,Soil,6/22/2015 0:00:00,,Josh Logsdon,Garrett Rotert,,,1,,2015-09-01,15062508012828012015-09-01,TravelingAIMcrew 2015 5.0.mdb,DBROWNING,8/30/2018 20:53:13,SBURNETT,7/22/2020 16:15:16,{BCACD4D9-2270-4127-BE88-162FEF652E20}
47405,1506291112559562,150701145306550,7/1/2015 14:57:29,Soil,6/29/2015 0:00:00,,Garrett Rotert,Josh Logsdon,,,1,,2015-09-01,15062911125595622015-09-01,TravelingAIMcrew 2015 5.0.mdb,DBROWNING,8/30/2018 20:53:13,SBURNETT,7/22/2020 16:15:16,{FDF2B81F-4C62-49BE-B606-10BB2DE6C201}
47406,1507011506557082,1507011618136111,7/1/2015 16:20:31,Soil,7/1/2015 0:00:00,,Josh Logsdon,Garrett Rotert,,,1,,2015-09-01,15070115065570822015-09-01,TravelingAIMcrew 2015 5.0.mdb,DBROWNING,8/30/2018 20:53:13,SBURNETT,7/22/2020 16:15:17,{C1CBFF69-99B2-4437-A15C-0A153656D60D}
55147,1804121534563410,1804121702189640,6/10/2018 20:19:04,Soil,4/11/2018 0:00:00,,Erin Kowalski,Erin Kowalski,,Mira Fishman,1,,2018-09-01,18041215345634102018-09-01,CO_UncompahgreFO_Intensification_2018_5-3b_02.mdb,DBROWNING,7/24/2019 16:37:19,DBROWNING,7/24/2019 16:37:19,{24C885B7-A4D4-4925-A0D3-BDFBA1C0B0E9}
55148,1804121226109181,1804122208386840,6/10/2018 20:15:45,Soil,4/12/2018 0:00:00,,Erin Kowalski,Erin Kowalski,Ken Holsinger,Ken Holsinger,1,,2018-09-01,18041212261091812018-09-01,CO_UncompahgreFO_Intensification_2018_5-3b_02.mdb,DBROWNING,7/24/2019 16:37:19,DBROWNING,7/24/2019 16:37:19,{1EE0A47E-5AE7-4F37-B18F-9F916C2A18C6}
55149,1804130853213216,1804130935271768,6/10/2018 20:26:30,Soil,4/11/2018 0:00:00,,Erin Kowalski,Erin Kowalski,,Mira Fishman,1,,2018-09-01,18041308532132162018-09-01,CO_UncompahgreFO_Intensification_2018_5-3b_02.mdb,DBROWNING,7/24/2019 16:37:19,DBROWNING,7/24/2019 16:37:19,{CE0A0760-C256-42C8-B851-0D79B1EF6F76}
55150,1804240912589669,1804241058169714,6/10/2018 20:46:56,Soil,4/24/2018 0:00:00,,Ben Selig,Ben Selig,Mira Fishman,Laura Moreno,1,,2018-09-01,18042409125896692018-09-01,CO_UncompahgreFO_Intensification_2018_5-3b_02.mdb,DBROWNING,7/24/2019 16:37:19,DBROWNING,7/24/2019 16:37:19,{401054B8-1211-45BF-8950-B3707664DD1C}
