OBJECTID,PlotKey,RecKey,DateModified,FormType,FormDate,LineKey,Observer,Recorder,DataEntry,DataErrorChecking,SoilStabSubSurface,Notes,DateLoadedInDb,PrimaryKey,DBKey,created_user,created_date,last_edited_user,last_edited_date,GlobalID
41991,1608240921579905,1609232226074271,10/21/2016 10:04:54,Soil,8/24/2016 0:00:00,,Heather Stewart,Heather Stewart,Heather Stewart,Heather Stewart,1,Line 1 position 4 was covered by moss. Line 2 position 6 was covered by duff. Line 3 position 4 was covered by duff.,2016-09-01,16082409215799052016-09-01,DIMA 5.1 CO_NWD_WRFO_2016.mdb,DBROWNING,8/30/2018 20:53:13,SBURNETT,7/22/2020 16:12:53,{D6DC4109-6FFA-45D2-9349-2B4E31F3588F}
42567,1507010658204438,1507011350479301,7/1/2015 13:54:16,Soil,7/1/2015 0:00:00,,Josh Logsdon,Garrett Rotert,,,1,,2015-09-01,15070106582044382015-09-01,TravelingAIMcrew 2015 5.0.mdb,DBROWNING,8/30/2018 20:53:13,SBURNETT,7/22/2020 16:13:35,{CB9B7BCC-64C7-417D-AD5C-00C05EEDAD50}
43167,1608250745428339,1609121035513875,11/16/2016 16:03:52,Soil,8/25/2016 0:00:00,,Elijah Lowry,Elijah Lowry,Nikolas Appelt,Elijah Lowry,1,,2016-09-01,16082507454283392016-09-01,DIMA_CO_NWD_KFO_2016 5.0.mdb,DBROWNING,8/30/2018 20:53:13,SBURNETT,7/22/2020 16:14:28,{CB1C05FC-7BF4-4768-B434-09B67B450BB3}
43182,1608241013536289,1610111543049784,11/8/2016 18:46:24,Soil,8/24/2016 0:00:00,,Elijah Lowry,Elijah Lowry,Nikolas Appelt,Elijah Lowry,1,,2016-09-01,16082410135362892016-09-01,DIMA_CO_NWD_KFO_2016 5.0.mdb,DBROWNING,8/30/2018 20:53:13,SBURNETT,7/22/2020 16:14:29,{4C11A623-3C21-4267-AC1F-E7E60D2C0BCF}
43488,1506250953565052,1506251040249200,6/25/2015 10:43:21,Soil,6/25/2015 0:00:00,,Josh Logsdon,Garrett Rotert,,,1,,2015-09-01,15062509535650522015-09-01,TravelingAIMcrew 2015 5.0.mdb,DBROWNING,8/30/2018 20:53:13,SBURNETT,7/22/2020 16:15:51,{B500B269-DB84-4EEB-9779-AC6B1DC61C1A}
43489,1506251049297245,150625111739124,6/25/2015 11:21:35,Soil,6/24/2015 0:00:00,,Josh Logsdon,Garrett Rotert,,,1,,2015-09-01,15062510492972452015-09-01,TravelingAIMcrew 2015 5.0.mdb,DBROWNING,8/30/2018 20:53:13,SBURNETT,7/22/2020 16:15:51,{88F8917D-E516-4006-81A1-0A14F68E7C51}
43490,1506301712081927,150630180758500,6/30/2015 18:12:12,Soil,6/30/2015 0:00:00,,Garrett Rotert,Josh Logsdon,,,1,,2015-09-01,15063017120819272015-09-01,TravelingAIMcrew 2015 5.0.mdb,DBROWNING,8/30/2018 20:53:13,SBURNETT,7/22/2020 16:15:51,{02A68D09-7F2A-4607-AD43-89B4168C2A4A}
43491,1506301816004125,1506301952536214,6/30/2015 19:57:00,Soil,6/23/2015 0:00:00,,Josh Logsdon,Garrett Rotert,,,1,,2015-09-01,15063018160041252015-09-01,TravelingAIMcrew 2015 5.0.mdb,DBROWNING,8/30/2018 20:53:13,SBURNETT,7/22/2020 16:15:51,{64F702FB-76E8-44CB-BDBD-E49DC57F85E3}
44011,1607071247107287,1607071332042410,10/25/2016 8:56:39,Soil,6/29/2016 0:00:00,,Megan Crawford,Megan Crawford,Shannon Whitmore,Ricci Simmons,1,,2016-09-01,16070712471072872016-09-01,DIMA 5.0 CO_NWD_LSFO_2016.mdb,DBROWNING,8/30/2018 20:53:13,SBURNETT,7/22/2020 16:16:23,{34AE5852-1B0A-43A8-A115-1067CEF72A4B}
44059,1607081113192893,160708135138805,10/31/2016 10:36:51,Soil,6/28/2016 0:00:00,,Megan Crawford,Megan Crawford,Shannon Whitmore,Ricci Simmons,1,,2016-09-01,16070811131928932016-09-01,DIMA 5.0 CO_NWD_LSFO_2016.mdb,DBROWNING,8/30/2018 20:53:13,SBURNETT,7/22/2020 16:16:26,{1D3F715A-D246-4927-94AA-F8EE816AB111}
